"new_date";"Fecha_tradeo";"Volume_AAPL";"Adj.Close_AAPL";"Open_AAPL";"High_AAPL";"Low_AAPL";"Close_AAPL"
"5/6/2022";"5/6/2022";116124600;156.34642;156.009995;159.440002;154.179993;157.279999
"5/9/2022";"5/9/2022";131577900;151.15741;154.929993;155.830002;151.490005;152.059998
"5/12/2022";"5/12/2022";182602000;141.713791;142.770004;146.199997;138.800003;142.559998
"5/13/2022";"5/13/2022";113990900;146.236786;144.589996;148.100006;143.110001;147.110001
"5/19/2022";"5/19/2022";136095600;136.534714;139.880005;141.660004;136.600006;137.350006
"5/20/2022";"5/20/2022";137426100;136.77327;139.089996;140.699997;132.610001;137.589996
"5/23/2022";"5/23/2022";117726300;142.260529;137.789993;143.259995;137.649994;143.110001
"6/2/2022";"6/2/2022";72348100;150.312454;147.830002;151.270004;146.860001;151.210007
"6/3/2022";"6/3/2022";88570300;144.517059;146.899994;147.970001;144.460007;145.380005
"6/6/2022";"6/6/2022";71598400;145.272537;147.029999;148.570007;144.899994;146.139999
"6/7/2022";"6/7/2022";67808200;147.827286;144.350006;149;144.100006;148.710007
"6/9/2022";"6/9/2022";69473000;141.79332;147.080002;147.949997;142.529999;142.639999
"6/10/2022";"6/10/2022";91437900;136.316025;140.279999;140.759995;137.059998;137.130005
"6/13/2022";"6/13/2022";122207100;131.097198;132.869995;135.199997;131.440002;131.880005
"6/14/2022";"6/14/2022";84784300;131.971954;133.130005;133.889999;131.479996;132.759995
"6/16/2022";"6/16/2022";108123900;129.287994;132.080002;132.389999;129.039993;130.059998
"6/17/2022";"6/17/2022";134520300;130.779099;130.070007;133.080002;129.809998;131.559998
"6/21/2022";"6/21/2022";81000500;135.063507;133.419998;137.059998;133.320007;135.869995
"6/23/2022";"6/23/2022";72433800;137.449265;136.820007;138.589996;135.630005;138.270004
"6/24/2022";"6/24/2022";89116800;140.819138;139.899994;141.910004;139.770004;141.660004
"6/28/2022";"6/28/2022";67083400;136.624191;142.130005;143.419998;137.320007;137.440002
"6/30/2022";"6/30/2022";98964500;135.908463;137.25;138.369995;133.770004;136.720001
"7/1/2022";"7/1/2022";71051600;138.105331;136.039993;139.039993;135.660004;138.929993
"7/5/2022";"7/5/2022";73353800;140.719727;137.770004;141.610001;136.929993;141.559998
"7/7/2022";"7/7/2022";66253700;145.481293;143.289993;146.550003;143.279999;146.350006
"7/8/2022";"7/8/2022";64547800;146.167191;145.259995;147.550003;145;147.039993
"7/11/2022";"7/11/2022";63141600;144.010071;145.669998;146.639999;143.779999;144.869995
"7/12/2022";"7/12/2022";77588800;144.994202;145.759995;148.449997;145.050003;145.860001
"7/14/2022";"7/14/2022";78140700;147.588715;144.080002;148.949997;143.25;148.470001
"7/15/2022";"7/15/2022";76259900;149.27861;149.779999;150.860001;148.199997;150.169998
"7/18/2022";"7/18/2022";81420900;146.197021;150.740005;151.570007;146.699997;147.070007
"7/19/2022";"7/19/2022";82982400;150.103699;147.919998;151.229996;146.910004;151
"7/21/2022";"7/21/2022";65086600;154.427887;154.5;155.570007;151.940002;155.350006
"7/22/2022";"7/22/2022";66675400;153.175354;155.389999;156.279999;153.410004;154.089996
"7/25/2022";"7/25/2022";53623900;152.042114;154.009995;155.039993;152.279999;152.949997
"7/26/2022";"7/26/2022";55138700;150.700134;152.259995;153.089996;150.800003;151.600006
"7/28/2022";"7/28/2022";81378700;156.416;156.979996;157.639999;154.410004;157.350006
"7/29/2022";"7/29/2022";101786900;161.54538;161.240005;163.630005;159.5;162.509995
"8/1/2022";"8/1/2022";67829400;160.551315;161.009995;163.589996;160.889999;161.509995
"8/2/2022";"8/2/2022";59907000;159.060196;160.100006;162.410004;159.630005;160.009995
"8/4/2022";"8/4/2022";55474100;164.825775;166.009995;167.190002;164.429993;165.809998
